,Unnamed: 0,Tractor,Plow,Seeder,Harvester,Fertilizer Spreader,Sprayer,Wheat,Corn,Rice,Potato,Tomato,Size_Acres,Time,Activity_Fertilizing,Activity_Harvesting,Activity_Planting,Activity_Watering
0,0,5,2,1,0,0,0,200,0,0,0,0,15.0,8.0,0,0,1,0
1,1,6,4,2,0,0,0,0,250,0,0,0,10.0,4.0,0,0,1,0
2,2,3,3,3,0,0,0,0,0,150,0,0,6.0,4.0,0,0,1,0
3,3,4,4,4,0,0,0,0,0,0,220,0,5.0,2.0,0,0,1,0
4,4,7,8,3,0,0,0,0,0,0,0,180,12.0,2.0,0,0,1,0
5,5,2,4,3,0,0,0,120,0,0,0,0,8.0,10.0,0,0,1,0
6,6,3,2,1,0,0,0,0,200,0,0,0,5.0,6.0,0,0,1,0
7,7,3,3,2,0,0,0,0,0,200,0,0,12.0,12.0,0,0,1,0
8,8,6,4,4,0,0,0,0,0,0,220,0,16.0,5.0,0,0,1,0
9,9,7,3,2,0,0,0,0,150,0,0,0,13.0,7.0,0,0,1,0
10,10,9,5,3,0,0,0,250,0,0,0,0,18.0,5.0,0,0,1,0
11,11,4,3,1,0,0,0,0,220,0,0,0,10.0,9.0,0,0,1,0
12,12,6,5,4,0,0,0,0,0,180,0,0,18.0,6.0,0,0,1,0
13,13,2,2,3,0,0,0,0,0,0,200,0,5.0,3.0,0,0,1,0
14,14,3,4,1,0,0,0,0,0,0,0,170,9.0,10.0,0,0,1,0
15,15,5,3,2,0,0,0,110,0,0,0,0,11.0,7.0,0,0,1,0
16,16,8,3,4,0,0,0,0,180,0,0,0,15.0,5.0,0,0,1,0
17,17,2,4,3,0,0,0,0,0,190,0,0,6.0,5.0,0,0,1,0
18,18,8,6,5,0,0,0,0,0,0,210,0,20.0,7.0,0,0,1,0
19,19,6,7,6,0,0,0,0,160,0,0,0,23.0,8.0,0,0,1,0
20,20,8,8,7,0,0,0,230,0,0,0,0,27.0,7.0,0,0,1,0
21,21,4,3,6,0,0,0,0,240,0,0,0,13.0,6.0,0,0,1,0
22,22,6,7,8,0,0,0,0,0,200,0,0,24.0,11.0,0,0,1,0
23,23,7,4,5,0,0,0,0,0,0,180,0,13.0,5.0,0,0,1,0
24,24,9,5,4,0,0,0,0,0,0,0,190,20.0,5.0,0,0,1,0
25,25,7,3,1,0,0,0,130,0,0,0,0,10.0,7.0,0,0,1,0
26,26,2,1,1,0,0,0,0,220,0,0,0,5.0,5.0,0,0,1,0
27,27,3,4,2,0,0,0,0,0,210,0,0,18.0,11.0,0,0,1,0
28,28,1,2,1,0,0,0,0,0,0,230,0,4.0,5.0,0,0,1,0
29,29,8,9,9,0,0,0,0,170,0,0,0,30.0,6.0,0,0,1,0
30,30,7,6,2,0,0,0,220,0,0,0,0,20.0,8.0,0,0,1,0
31,31,9,6,7,0,0,0,0,260,0,0,0,25.0,5.0,0,0,1,0
32,32,5,3,1,0,0,0,0,0,220,0,0,12.0,8.0,0,0,1,0
33,33,2,3,1,0,0,0,0,0,0,190,0,8.0,6.0,0,0,1,0
34,34,4,3,6,0,0,0,0,0,0,0,200,11.0,5.0,0,0,1,0
35,35,8,7,2,0,0,0,140,0,0,0,0,15.0,4.0,0,0,1,0
36,36,6,7,8,0,0,0,0,240,0,0,0,16.0,6.0,0,0,1,0
37,37,7,9,3,0,0,0,0,0,230,0,0,24.0,9.0,0,0,1,0
38,38,6,4,6,0,0,0,0,0,0,250,0,19.0,9.0,0,0,1,0
39,39,2,7,3,0,0,0,0,180,0,0,0,15.0,10.0,0,0,1,0
40,40,4,5,2,0,0,0,210,0,0,0,0,11.0,6.0,0,0,1,0
41,41,1,2,1,0,0,0,0,270,0,0,0,4.0,6.0,0,0,1,0
42,42,3,7,2,0,0,0,0,0,240,0,0,9.0,3.0,0,0,1,0
43,43,6,4,2,0,0,0,0,0,0,200,0,10.0,2.0,0,0,1,0
44,44,2,5,7,0,0,0,0,0,0,0,210,9.0,4.0,0,0,1,0
45,45,5,7,3,0,0,0,150,0,0,0,0,12.0,3.0,0,0,1,0
46,46,7,2,5,0,0,0,0,260,0,0,0,17.0,6.0,0,0,1,0
47,47,8,4,5,0,0,0,0,0,250,0,0,24.0,5.0,0,0,1,0
48,48,7,5,3,0,0,0,0,0,0,270,0,20.0,7.0,0,0,1,0
49,49,0,0,0,1,0,0,0,190,0,0,0,1.5,1.1,0,1,0,0
